Měsíc,Platba,Plátce,Příjemce,Částka (Kč),Důvod platby,Zdroj
2014-11,2014-12-10,Praha,Jan Loužek,12430,plat
2014-12,2015-01-09,Praha,Jan Loužek,14625,plat
2015-01,2015-02-10,Praha,Jan Loužek,14816,plat
2015-02,2015-03-09,Praha,Jan Loužek,15003,plat
2015-03,2015-04-09,Praha,Jan Loužek,30721,plat
2015-04,2015-05-10,Praha,Jan Loužek,14816,plat
2015-05,2015-06-11,Praha,Jan Loužek,15127,plat
2015-06,2015-07-09,Praha,Jan Loužek,25868,plat
2015-07,2015-08-07,Praha,Jan Loužek,18788,plat
2015-08,2015-09-09,Praha,Jan Loužek,15234,plat
2015-09,2015-10-08,Praha,Jan Loužek,29986,plat



